web_scraper_order,web_scraper_start_url,Venue,Name,Country,Venue2,Genres,Price(s.f.),Duration,Where,Visitors,Date 2026,Date 20262,Venue3,Venue4,Venue5,Venue6,Date 20263,Date 20264
"1763560046-11","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Novalja,
                              HR
                              53291","Big Beach Spring Break","Croatia","Zrce Beach","Electronic Dance Music (EDM), House","n/a","4 days","outdoor","26000","05/22
                                 -
                                
                                    05/25","05/25","","Novalja","HR","53291","05/22","05/22"
"1763560046-12","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Bildstockstraße                              Landsweiler-Reden,
                              DE
                              66578","Tropical Mountain Festival","Saarland","Auf der Alm","Dance, Electro, House, Trance","€ 41.90","1 day","outdoor","15000","05/23","","Bildstockstraße","Landsweiler-Reden","DE","66578","05/23","05/23"
"1763560046-13","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Schiffenberger Weg                              Gießen,
                              DE
                              35394","Rave and Sun Festival","Hesse","WM-Arena Gießen","Dance, Electro, House","n/a","1 day","outdoor","no data","05/23","","Schiffenberger Weg","Gießen","DE","35394","05/23","05/23"
"1763560046-14","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Hamburger Str. 164                              Heide,
                              DE
                              25746","Harder Force Indoor Festival","Schleswig-Holstein","Festivalgelände Westcoast","Electro, Hardcore (Electro), Techno","€ 89.90","2 days","indoor","no data","05/29
                                 -
                                
                                    05/30","05/30","Hamburger Str. 164","Heide","DE","25746","05/29","05/29"
"1763560046-15","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Novalja,
                              HR
                              53291","Spring Break Europe","Croatia","https://zrce.eu/en/","Electronic Dance Music (EDM), House","€ 79.00","6 days","outdoor","27000","06/03
                                 -
                                
                                    06/08","06/08","","Novalja","HR","53291","06/03","06/03"
"1763560046-16","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","An der Bahn 999                              Quarnstedt,
                              DE
                              25563","Love Explosion Festival","Hamburg","Love Explosion Festival","Electro, Goa, Techno, Trance","€ 79.90","4 days","outdoor","3500","06/04
                                 -
                                
                                    06/07","06/07","An der Bahn 999","Quarnstedt","DE","25563","06/04","06/04"
"1763560046-17","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Flugplatzweg 6                              Niedergörsdorf,
                              DE
                              14913","Zurück zu den Wurzeln Festival","Brandenburg","XXL-Location","Disco, Electro, Goa, House, Art & culture, Reggae, Rock, Trance","€ 190.00","4 days","outdoor","10000","06/04
                                 -
                                
                                    06/07","06/07","Flugplatzweg 6","Niedergörsdorf","DE","14913","06/04","06/04"
"1763560046-18","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Mörfelder Landstraße 362                              Frankfurt am Main,
                              DE
                              60528","World Club Dome","Hesse","Deutsche Bank Park","Dance, Electro, Electronic Dance Music (EDM), Hardcore (Electro), Hip-Hop, House, Pop, Techno","€ 120.00","3 days","outdoor","no data","06/05
                                 -
                                
                                    06/07","06/07","Mörfelder Landstraße 362","Frankfurt am Main","DE","60528","06/05","06/05"
"1763560046-19","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Hawerkamp 29a                              Münster,
                              DE
                              48155","Docklands Festival","Northrhine-Westphalia","Hawerkamp","Electro","€ 49.00","1 day","outdoor","15000","06/06","","Am Hawerkamp 29a","Münster","DE","48155","06/06","06/06"
"1763560046-20","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Halde Norddeutschland, Neukirchen-Vluyn                              Neukirchen-Vluyn,
                              DE
                              47506","Heaven & Hill Festival","Northrhine-Westphalia","","Electro, Electronic Dance Music (EDM), House, Trance","n/a","1 day","outdoor","no data","06/06","","Halde Norddeutschland, Neukirchen-Vluyn","Neukirchen-Vluyn","DE","47506","06/06","06/06"
"1763560046-21","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Helenesee 2                              Frankfurt (Oder),
                              DE
                              15236","Skalar Festival","Brandenburg","am Helenesee","Electro, Electronic Dance Music (EDM), Art & culture, Techno","n/a","4 days","outdoor","no data","06/11
                                 -
                                
                                    06/14","06/14","Am Helenesee 2","Frankfurt (Oder)","DE","15236","06/11","06/11"
"1763560046-22","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Schwimmbad                              Kropp,
                              DE
                              24848","Between the Seas Festival","Schleswig-Holstein","Geestland- Eventgelände","Dance, Electro, Electronic Dance Music (EDM), Trance","€ 105.00","3 days","outdoor","8000","06/11
                                 -
                                
                                    06/13","06/13","Am Schwimmbad","Kropp","DE","24848","06/11","06/11"
"1763560046-23","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Novalja,
                              HR
                              53291","Wild & Free Weekend","Croatia","Zrce Beach","Electro, Electronic Dance Music (EDM)","n/a","4 days","outdoor","no data","06/11
                                 -
                                
                                    06/14","06/14","","Novalja","HR","53291","06/11","06/11"
"1763560046-24","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Alten Fort 112 56743  Mendig                              Mendig,
                              DE
                              56743","Affenkäfig Festival","Rhineland-Palatinate","Flugplatz Mendig","Dance, Electro","€ 69.00","3 days","outdoor","5000","06/12
                                 -
                                
                                    06/14","06/14","Am Alten Fort 112 56743  Mendig","Mendig","DE","56743","06/12","06/12"
"1763560046-25","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Landshamer Strasse 11                              München,
                              DE
                              81929","Isle of Summer","Bavaria","Olympia Reitanlage","Electro, House","n/a","1 day","outdoor","3000","06/13","","Landshamer Strasse 11","München","DE","81929","06/13","06/13"
"1763560046-26","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Freizeitpark 2                              Wedemark,
                              DE
                              30900","Waves Open Air","Lower Saxony","Spaßbad Wedemark","Techno, Trance","n/a","1 day","outdoor","8000","06/13","","Am Freizeitpark 2","Wedemark","DE","30900","06/13","06/13"
"1763560046-27","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Waghäusel,
                              DE
                              68753","Electrique Baroque Festival","Baden-Württemberg","Eremitage Waghäusel","Electro, Techno","€ 29.90","1 day","outdoor","no data","06/13","","","Waghäusel","DE","68753","06/13","06/13"
"1763560046-28","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Dillinger Straße 20a                              Bad Aibling,
                              DE
                              83043","Electrifinity Festival","Bavaria","ehem. US-Kaserne Bad Aibling","Dance, Electro, Hardcore (Electro), House","€ 57.30","3 days","outdoor","no data","06/19
                                 -
                                
                                    06/21","06/21","Dillinger Straße 20a","Bad Aibling","DE","83043","06/19","06/19"
"1763560046-29","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Pleinfeld,
                              DE
                              91785","Burning Beach Festival","Bavaria","Badestrand Brombachsee","Electro, Goa, Hardcore (Electro), Trance","n/a","3 days","outdoor","no data","06/19
                                 -
                                
                                    06/21","06/21","","Pleinfeld","DE","91785","06/19","06/19"
"1763560046-30","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Ferropolisstraße 1                              Gräfenhainichen,
                              DE
                              06773","Hive Festival","Saxony-Anhalt","Ferropolis","Electro, Electronic Dance Music (EDM), Trance","n/a","3 days","outdoor","no data","06/19
                                 -
                                
                                    06/21","06/21","Ferropolisstraße 1","Gräfenhainichen","DE","06773","06/19","06/19"
"1763560046-31","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Kragelund                              Viöl,
                              DE
                              25884","Volume X Kragelund Festival","Schleswig-Holstein","","Electro, Goa, Hardcore (Electro), Trance","€ 75.00","3 days","outdoor","3000","06/19
                                 -
                                
                                    06/21","06/21","Kragelund","Viöl","DE","25884","06/19","06/19"
"1763560046-32","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","zum Obsthof 6                              Pforzheim,
                              DE
                              75177","Buchbusch Festival","Baden-Württemberg","Buchbusch Festival Gelände","Electro, Electronic Dance Music (EDM), Techno","€ 30.00","1 day","outdoor","3000","06/20","","zum Obsthof 6","Pforzheim","DE","75177","06/20","06/20"
"1763560046-33","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Sportplatzweg 23                              Langkampfen,
                              AT
                              6336","Midsummer Festival Austria","Austria","Sportplatz Langkampfen","Electronic Dance Music (EDM), Techno","n/a","1 day","outdoor","2500","06/20","","Sportplatzweg 23","Langkampfen","AT","6336","06/20","06/20"
"1763560046-34","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Fluplatz                              Lärz,
                              DE
                              17248","Fusion Festival","Mecklenburg-Western-Pomerania","Flugplatz Lärz","Dance, Electro, House, Trance","n/a","5 days","outdoor","70000","06/24
                                 -
                                
                                    06/28","06/28","Fluplatz","Lärz","DE","17248","06/24","06/24"
"1763560046-35","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Spijkweg 30                              Biddinghuizen,
                              NL
                              8256","Defqon.1 Festival","Netherlands","Walibi Holland","Dance, Electronic Dance Music (EDM), Trance","n/a","4 days","outdoor","60000","06/25
                                 -
                                
                                    06/28","06/28","Spijkweg 30","Biddinghuizen","NL","8256","06/25","06/25"
"1763560046-36","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Zernez,
                              CH
                              7530","Burning Mountain Festival","Switzerland","Charal","Electro, Goa, Techno, Trance","n/a","4 days","outdoor","6000","06/25
                                 -
                                
                                    06/28","06/28","","Zernez","CH","7530","06/25","06/25"
"1763560046-37","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Speichersdorf ,
                              DE
                              95469","Kindheitstraum Festival","Bavaria","Flugplatz Speichersdorf","Electro, Electronic Dance Music (EDM), House","€ 35.00","1 day","outdoor","no data","06/27","","","Speichersdorf","DE","95469","06/27","06/27"
"1763560046-38","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Hildburghausen,
                              DE
                              98646","HeideWitzka Festival","Thuringia","Lange Heide","Dance, Electro, Hardcore (Electro), House","n/a","3 days","outdoor","5000","07/02
                                 -
                                
                                    07/04","07/04","","Hildburghausen","DE","98646","07/02","07/02"
"1763560046-39","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Friedensstraße 12                              Grebs-Niendorf,
                              DE
                              19294","Orange Sun Festival","Mecklenburg-Western-Pomerania","Burgwall Menkendorf","Dance, Electro, Electronic Dance Music (EDM), Trance","n/a","3 days","outdoor","no data","07/03
                                 -
                                
                                    07/05","07/05","Friedensstraße 12","Grebs-Niendorf","DE","19294","07/03","07/03"
"1763560046-40","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Oberhausen,
                              DE
                              46117","Ruhr in Love","Northrhine-Westphalia","OlgaPark","Dance, Electro, House, Trance","€ 39.00","1 day","outdoor","36000","07/04","","","Oberhausen","DE","46117","07/04","07/04"
"1763560046-41","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Flugplatz 1                              Neustadt-Glewe,
                              DE
                              19306","Airbeat One Festival","Germany","","Dance, Electro, Electronic Dance Music (EDM), Goa, Hardcore (Electro), House, Techno, Trance","€ 175.99","5 days","outdoor","65000","07/08
                                 -
                                
                                    07/12","07/12","Am Flugplatz 1","Neustadt-Glewe","DE","19306","07/08","07/08"
"1763560046-42","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Salzburgring 1                              Plainfeld,
                              AT
                              5325","Electric Love Festival","Austria","Der Salzburgring","Dance, Electro, House, Trance","€ 199.00","3 days","outdoor","10000","07/09
                                 -
                                
                                    07/11","07/11","Salzburgring 1","Plainfeld","AT","5325","07/09","07/09"
"1763560046-43","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Ul. Hrvatske Mornarice 12                              Split,
                              HR
                              21000","Ultra Europe Festival","Croatia","Youth Park","Dance, Electro, Electronic Dance Music (EDM), Hardcore (Electro), House, Trance","€ 179.00","3 days","outdoor","150000","07/10
                                 -
                                
                                    07/12","07/12","Ul. Hrvatske Mornarice 12","Split","HR","21000","07/10","07/10"
"1763560046-44","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Weidweg 21                              Lampertheim,
                              DE
                              68623","Tanz der Bässe Festival","Hesse","Biedensand-Bäder","Dance, Electro","€ 43.60","1 day","outdoor","5000","07/11","","Weidweg 21","Lampertheim","DE","68623","07/11","07/11"
"1763560046-45","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Sportgelände 7                              Schöllkrippen,
                              DE
                              63825","Behind the Moon Music Festival","Bavaria","Festivalgelände Schützenverein Hubertus Schöllkrippen","Dance, Electro, Electronic Dance Music (EDM), House","n/a","1 day","outdoor","1000","07/11","","Am Sportgelände 7","Schöllkrippen","DE","63825","07/11","07/11"
"1763560046-46","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Freiherr-vom-Stein-Straße 384                              Essen,
                              DE
                              45133","SMAG Sundance Festival","Northrhine-Westphalia","Seaside Beach Baldeney","Electro","€ 39.00","1 day","outdoor","no data","07/11","","Freiherr-vom-Stein-Straße 384","Essen","DE","45133","07/11","07/11"
"1763560046-47","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Prozessionsweg 8                              Harsewinkel,
                              DE
                              33428","Sun Swing Festival","Northrhine-Westphalia","Freibad Harsewinkel","Electro, Electronic Dance Music (EDM)","€ 19.00","1 day","outdoor","3000","07/11","","Prozessionsweg 8","Harsewinkel","DE","33428","07/11","07/11"
"1763560046-48","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Oveneystr. 61                              Bochum,
                              DE
                              44797","Libella Festival","Northrhine-Westphalia","Kemnader See","Dance, Electro, Electronic Dance Music (EDM), Hardcore (Electro), Techno, Trance","€ 19.99","1 day","outdoor","3000","07/11","","Oveneystr. 61","Bochum","DE","44797","07/11","07/11"
"1763560046-49","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Helenesee 2                               Frankfurt/Oder,
                              DE
                              15236","Helene Beach Open Air","Brandenburg","Helenesee","Dance, Electro, House, Techno","€ 36.00","3 days","outdoor","2000","07/16
                                 -
                                
                                    07/18","07/18","Am Helenesee 2","Frankfurt/Oder","DE","15236","07/16","07/16"
"1763560046-50","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Seestraße 30                              Freiburg im Breisgau,
                              DE
                              79108","Sea You Festival","Baden-Württemberg","Beach-Festival am Tunisee (bei Freiburg im Breisgau)","Dance, Electro, Electronic Dance Music (EDM), Trance","€ 159.99","3 days","outdoor","34000","07/17
                                 -
                                
                                    07/19","07/19","Seestraße 30","Freiburg im Breisgau","DE","79108","07/17","07/17"
"1763560046-51","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Mansfelder Chaussee                              Putlitz,
                              DE
                              16949","Voov Experience Festival","Brandenburg","","Goa","€ 155.00","4 days","outdoor","5000","07/17
                                 -
                                
                                    07/20","07/20","Mansfelder Chaussee","Putlitz","DE","16949","07/17","07/17"
"1763560046-52","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Weeze ,
                              DE
                              47652","Parookaville Festival","Northrhine-Westphalia","Airport Weeze","Dance, Electro, Electronic Dance Music (EDM), Hardcore (Electro), Other, Techno","n/a","3 days","outdoor","250000","07/17
                                 -
                                
                                    07/19","07/19","","Weeze","DE","47652","07/17","07/17"
"1763560046-53","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Alte Schleuse 23                              Hamburg,
                              DE
                              21107","Habitat Festival","Hamburg","MS Artville","Dance, Electro, House, Trance","€ 80.00","2 days","outdoor","5000","07/18
                                 -
                                
                                    07/19","07/19","Alte Schleuse 23","Hamburg","DE","21107","07/18","07/18"
"1763560046-54","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am See 1                              Garching,
                              DE
                              85748","Schall im Schilf Festival","Bavaria","Garchinger See","Electro","€ 45.00","1 day","outdoor","10000","07/18","","Am See 1","Garching","DE","85748","07/18","07/18"
"1763560046-55","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Karl-Glöckner-Str. 4                              Gießen,
                              DE
                              35394","Summer Break Festival","Hesse","WM-Arena Gießen","Dance, Electro, Electronic Dance Music (EDM), Hip-Hop, Pop","€ 25.00","2 days","outdoor","4000","07/19
                                 -
                                
                                    07/20","07/20","Karl-Glöckner-Str. 4","Gießen","DE","35394","07/19","07/19"
"1763560046-56","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Puschendorfer Straße 2                              Herzogenaurach,
                              DE
                              91074","Open Beatz Festival","Bavaria","","Electro, Hardcore (Electro), House, Trance","€ 184.00","3 days","outdoor","25000","07/24
                                 -
                                
                                    07/26","07/26","Puschendorfer Straße 2","Herzogenaurach","DE","91074","07/24","07/24"
"1763560046-57","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Südstrand Eckernförde, 24340 Eckernförde                              Eckernförde,
                              DE
                              24340","Strandgut Festival","Schleswig-Holstein","Südstrand Eckernförde","Electro, Electronic Dance Music (EDM), House","€ 45.90","1 day","outdoor","5000","07/25","","Südstrand Eckernförde, 24340 Eckernförde","Eckernförde","DE","24340","07/25","07/25"
"1763560046-58","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Kastellaun,
                              DE
                              56288","Nature One","Rhineland-Palatinate","Raketenbasis Pydna, Kastellaun","Electronic Dance Music (EDM), Hardcore (Electro), House, Other, Techno, Trance","€ 159.00","4 days","outdoor","65000","07/30
                                 -
                                
                                    08/02","08/02","","Kastellaun","DE","56288","07/30","07/30"
"1763560046-59","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Zur Kleinbahn 8                              Galenbeck,
                              DE
                              17099","Praerie Festival","Mecklenburg-Western-Pomerania","","Dance, Electro, Electronic Dance Music (EDM), Trance","€ 170.00","3 days","outdoor","no data","07/31
                                 -
                                
                                    08/02","08/02","Zur Kleinbahn 8","Galenbeck","DE","17099","07/31","07/31"
"1763560046-60","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Scherleithen                              Plankenfels,
                              DE
                              95515","Klangtherapie Festival","Bavaria","","Dance, Electro, Trance","€ 135.00","5 days","outdoor","3500","08/06
                                 -
                                
                                    08/10","08/10","Scherleithen","Plankenfels","DE","95515","08/06","08/06"
"1763560046-61","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Neuenkoog 18                              Westerdeichstrich,
                              DE
                              25761","In litore Festival","Schleswig-Holstein","Büsum-Westerdeichstrich am Strand","Dance, Electronic Dance Music (EDM), Techno","€ 69.00","3 days","outdoor","3500","08/14
                                 -
                                
                                    08/16","08/16","Neuenkoog 18","Westerdeichstrich","DE","25761","08/14","08/14"
"1763560046-62","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Eldena,
                              DE
                              19294","Indian Spirit Festival","Mecklenburg-Western-Pomerania","Wiese nahe Eldena","Goa","n/a","6 days","outdoor","20000","08/26
                                 -
                                
                                    08/31","08/31","","Eldena","DE","19294","08/26","08/26"
"1763560046-63","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Van-der-Smissen-Straße 5                              Hamburg,
                              DE
                              22767 Hamburg","Noisy Festival","Hamburg","Hamburg Cruise Center Altona","Electro","€ 69.00","3 days","outdoor","6000","08/28
                                 -
                                
                                    08/30","08/30","Van-der-Smissen-Straße 5","Hamburg","DE","22767 Hamburg","08/28","08/28"
"1763560046-64","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Luxemburger Straße 50                              Zülpich,
                              DE
                              53909","Into the Madness Festival","Northrhine-Westphalia","Seepark Zülpich","Electro, Electronic Dance Music (EDM), Hardcore (Electro), Techno","€ 64.90","1 day","outdoor","no data","09/05","","Luxemburger Straße 50","Zülpich","DE","53909","09/05","09/05"
